image_id,image_path,width,height,candidate_count,runtime_ms
002_1_0010,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Red signs\002_1_0010.png,95,76,2,1.543
003_1_0034,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Red signs\003_1_0034.png,144,140,1,2.006
004_1_0020,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Red signs\004_1_0020.png,83,80,1,1.166
005_0030,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Red signs\005_0030.png,102,103,5,1.598
005_1_0027,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Red signs\005_1_0027.png,158,147,5,2.536
007_1_0006,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Red signs\007_1_0006.png,133,125,4,3.86
008_1_0008_1_j,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Red signs\008_1_0008_1_j.png,127,119,1,3.011
010_1_0013,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Red signs\010_1_0013.png,116,122,1,2.94
011_0029,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Red signs\011_0029.png,65,58,3,1.179
011_1_0019,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Red signs\011_1_0019.png,201,179,3,3.034
012_1_0015,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Red signs\012_1_0015.png,94,100,3,1.724
013_0013,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Red signs\013_0013.png,117,106,1,1.469
014_1_0028,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Red signs\014_1_0028.png,120,114,1,1.467
015_1_0001,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Red signs\015_1_0001.png,123,121,4,1.732
